No. Pesanan,Status Pesanan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,city,user_id
2104058SWSCJEU,Selesai,,002517533433,"Reguler
SiCepat REG",Pickup,2021-04-08 13:18,2021-04-05 17:06,2021-04-05 13:18,2021-04-05 13:18,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_LightGrey_L,"Light Grey,L",Rp 134000.0,Rp 113900.0,1,Rp 113900.0,Rp 20100.0,Rp 20100.0,Rp 0.0,300 gr,1,300 gr,Rp 5694.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,9776,Rp 0.0,Rp 0.0,Rp 103316.0,Rp 7500.0,,,Semarang,216
210402VWJK8BHC,Selesai,,JP5537677537,"Reguler
J&T Express",Pickup,2021-04-06 23:32,2021-04-03 14:01,2021-04-01 23:30,2021-04-01 23:32,,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_MauvePink_L,"Mauve Pink,L",Rp 244500.0,Rp 238992.0,1,Rp 238992.0,Rp 5506.0,Rp 5506.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,607,Rp 0.0,Rp 0.0,Rp 434196.0,Rp 10000.0,,,Cimahi,55
210402VWJK8BHC,Selesai,,JP5537677537,"Reguler
J&T Express",Pickup,2021-04-06 23:32,2021-04-03 14:01,2021-04-01 23:30,2021-04-01 23:32,,"miniletics Notice Mi 2 in 1 Tank, A/B cup Tank Top Olahraga Wanita",NMT_White_L,"White,L",Rp 199500.0,Rp 195006.0,1,Rp 195006.0,Rp 4492.0,Rp 4492.0,Rp 0.0,300 gr,2,600 gr,Rp 0.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,607,Rp 0.0,Rp 0.0,Rp 434196.0,Rp 10000.0,,,Cimahi,55
2104020QFYJ0Y5,Selesai,,002515681348,"Reguler
SiCepat REG",Pickup,2021-04-06 08:16,2021-04-03 12:56,2021-04-02 08:13,2021-04-02 08:16,,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_AlabasterCream_M,"Alabaster Cream,M",Rp 249500.0,Rp 249500.0,1,Rp 249500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 7500.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 0.0,Rp 242500.0,Rp 9000.0,,,Tangerang Selatan,125
21040581HWS4HE,Selesai,,002517228501,"Reguler
SiCepat REG",Pickup,2021-04-08 06:02,2021-04-05 15:29,2021-04-05 06:02,2021-04-05 06:02,,"miniletics Power High Neck Bra, with A/B cup Sports Bra",PWRHigh_Black_S,"Black,S",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 3500.0,Rp 178000.0,Rp 3500.0,"Size small, tolong diproses yg cepat,dicek terlebih dahulu spy tdk ada yg robek,rusak,kotor,cacat,jahitannya pastikan semua rapi,dipacking yg rapi spy tdk robek,kotor,rusak,cacat",,Surabaya,167
2104058UYJ66QX,Selesai,,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55,2021-04-05 19:28,2021-04-05 13:55,2021-04-05 13:55,,"miniletics Motion Shorts 6"" Celana Olahraga Wanita",MOLShorts_Maroon_S,"Maroon,S",Rp 174500.0,Rp 169352.0,1,Rp 169352.0,Rp 5146.0,Rp 5146.0,Rp 0.0,300 gr,4,1200 gr,Rp 25000.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,43598,Rp 0.0,Rp 0.0,Rp 510000.0,Rp 15000.0,,,Jakarta Utara,81
2104058UYJ66QX,Selesai,,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55,2021-04-05 19:28,2021-04-05 13:55,2021-04-05 13:55,,miniletics  Sprint Shorts Celana Olahraga Wanita,SPRShorts_White_S,"Black,S",Rp 164500.0,Rp 159646.0,1,Rp 159646.0,Rp 4852.0,Rp 4852.0,Rp 0.0,300 gr,4,1200 gr,Rp 25000.0,Rp 0.0,Rp 0.0,Y,Rp 0.0,Rp 10000.0,43598,Rp 0.0,Rp 0.0,Rp 510000.0,Rp 15000.0,,,Jakarta Utara,81
2104058UYJ66QX,Selesai,,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55,2021-04-05 19:28,2021-04-05 13:55,2021-04-05 13:55,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_Clay_M,"Clay,M",Rp 134000.0,Rp 113900.0,1,Rp 113900.0,Rp 20100.0,Rp 20100.0,Rp 0.0,300 gr,4,1200 gr,Rp 25000.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 10000.0,43598,Rp 0.0,Rp 0.0,Rp 510000.0,Rp 15000.0,,,Jakarta Utara,81
2104058UYJ66QX,Selesai,,JP3589597397,"Reguler
J&T Express",Pickup,2021-04-08 13:55,2021-04-05 19:28,2021-04-05 13:55,2021-04-05 13:55,,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_DarkBlue_M,"Dark Blue,M",Rp 134000.0,Rp 113900.0,1,Rp 113900.0,Rp 20100.0,Rp 20100.0,Rp 0.0,300 gr,4,1200 gr,Rp 25000.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 10000.0,43598,Rp 0.0,Rp 0.0,Rp 510000.0,Rp 15000.0,,,Jakarta Utara,81
210413VMT3CTUA,Selesai,,JP8764539836,"Reguler
J&T Express",Pickup,2021-04-15 14:09,2021-04-13 16:12,2021-04-13 10:40,2021-04-13 14:09,,miniletics Embrace Bra (support with A/B bra cup) Sports Bra Wanita,EMB_Black_M,"Black,M",Rp 174500.0,Rp 174500.0,1,Rp 174500.0,Rp 0.0,Rp 0.0,Rp 0.0,300 gr,1,300 gr,Rp 0.0,Rp 0.0,Rp 0.0,N,Rp 0.0,Rp 0.0,0,Rp 0.0,Rp 7500.0,Rp 182218.0,Rp 7500.0,,,Jakarta Barat,115
