,Order_Id,Invoice,Payment_Date,Order_Status,Product_Id,Product_Name,Quantity,Stock_Keeping_Unit_(Sku),Notes,Price,Discount_Amount,Subsidi_Amount,Courier,Shipping_Price_With_Fee,Insurance,Total_Shipping_Fee,Total_Amount,AWB,Jenis_Layanan,Bebas_Ongkir,Warehouse_Origin,Campaign_Name,City,User_Id,SKU_Induk,Category,Full Name
416,768109554,INV/20210419/MPL/1183785782,2021-04-19 18:54:21,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1696216278,"miniletics Celana Olahraga wanita Motion Shorts 4"" - Steel Blue, S",1,MOLShorts_SteelBlue_S,Tidak ada,161024,8474,0,SiCepat(Regular Package),3000,0,3000,582100,000495050749,Unknown,Yes,Shop Location,Sale,Surabaya,60,molshorts,shorts,"Motion Shorts 4"""
417,768129805,INV/20210419/MPL/1183835072,2021-04-19 19:23:50,"Transaksi selesai..
Dana akan diteruskan ke penjual.",987965981,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Black,S",1,MOLFull_Black_S,Tidak ada,220050,24450,0,SiCepat(Regular Package),12500,0,12500,546650,000495050748,Unknown,Yes,Shop Location,Sale,Gianyar,113,molfull,legging,Motion Legging Full
418,768129805,INV/20210419/MPL/1183835072,2021-04-19 19:23:50,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1043985771,"miniletics Embrace Bra, with A/B Cup Sports Bra - Black,M",1,EMB_Black_M,Tidak ada,157050,17450,0,SiCepat(Regular Package),12500,0,12500,546650,000495050748,Unknown,Yes,Shop Location,Sale,Gianyar,113,emb,sports bra,"Embrace Bra, Support with A/B bra cup"
419,768129805,INV/20210419/MPL/1183835072,2021-04-19 19:23:50,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237733173,"miniletics Motion Shorts 6"" Celana Olahraga Wanita - Black Camo,S",1,MOLShorts_BlackCamo_S,Tidak ada,157050,17450,0,SiCepat(Regular Package),12500,0,12500,546650,000495050748,Unknown,Yes,Shop Location,Sale,Gianyar,113,molshorts,shorts,"Motion Shorts 4"""
420,768161736,INV/20210419/MPL/1183914104,2021-04-19 20:11:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1695943373,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita - Green,L",1,MOLFull_Green_L,Tidak ada,220050,24450,0,AnterAja(Reguler),7500,0,7500,377050,10001138068959,Unknown,Yes,Shop Location,Sale,Tangerang,142,molfull,legging,Motion Legging Full
421,768161736,INV/20210419/MPL/1183914104,2021-04-19 20:11:04,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1717038927,"miniletics Breezy Crop Tank Tank Top Wanita - Lavender Fog, L",1,BRCrop_LavenderFog_L,Tidak ada,149500,0,0,AnterAja(Reguler),7500,0,7500,377050,10001138068959,Unknown,Yes,Shop Location,Unknown,Tangerang,142,brcrop,tank top,Breezy Crop Tank
422,768186887,INV/20210419/MPL/1183976069,2021-04-19 20:41:30,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1237777734,"miniletics Sprint Tank Tank Top Olahraga Wanita - White Mint,M",1,SPRTank_WhiteMint_M,Tidak ada,131200,32800,0,AnterAja(Reguler),7500,0,7500,138700,10001138069824,Unknown,Yes,Shop Location,Sale,Jakarta pusat,165,sprtank,tank top,Sprint Tank
423,769066460,INV/20210420/MPL/1186059699,2021-04-20 14:11:15,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1338455399,"miniletics Ready Anywhere Crop 22"" Celana Wanita - Grey Sage,S",1,RACrop_GreySage_S,Tidak ada,224550,24950,0,JNE(OKE),7500,0,7500,232050,TJE1266378703200,Unknown,Unknown,Shop Location,Sale,Tangerang,128,racrop,pants,Ready Anywhere Crop
424,769103111,INV/20210420/MPL/1186150055,2021-04-20 14:45:41,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1403131930,"miniletics Feel Free Basic Crop Tank Tank Top Olahraga Wanita - White,M",1,FFT_White_M,Tidak ada,113900,20100,0,AnterAja(Reguler),7500,0,7500,278450,10001140099004,Unknown,Yes,Shop Location,Sale,Tangerang,163,fft,tank top,Feel Free Basic Crop Tank
425,769103111,INV/20210420/MPL/1186150055,2021-04-20 14:45:41,"Transaksi selesai..
Dana akan diteruskan ke penjual.",1238060290,"miniletics Power High Neck Bra, with A/B Cup Sports Bra - Magenta,S",1,PWRHigh_Magenta_S,Tidak ada,157050,17450,0,AnterAja(Reguler),7500,0,7500,278450,10001140099004,Unknown,Yes,Shop Location,Sale,Tangerang,163,pwrhigh,sports bra,"Power High Neck Bra, Support with A/B bra cup"
