Product Title,URL,Brand,Seller Name,Marketplace,Seller Type,Location,Sales Quantity,Sales Revenue,,,
Intense Ultimate Care 200ml - For Women,https://shopee.co.id/Intense-Ultimate-Care-200ml-For-Women-i.166871644.2615609180,Intense,B29 Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,51,"Rp4,085,100",51,Rp4085100,4085100
Natur Miracle Brightening Face Serum :  Vitamin C & Sour Lime,https://shopee.co.id/Natur-Miracle-Brightening-Face-Serum-Vitamin-C-Sour-Lime-i.38631574.3333422021,Natur,Natur Official Store,Shopee,Official Store,KOTA JAKARTA TIMUR,51,"Rp4,029,000",51,Rp4029000,4029000
Purivera Double Combo Skin Repair Package - Tamanu Bakuchiol 1% + Ceramide 3% Sea Buckthorn,https://shopee.co.id/Purivera-Double-Combo-Skin-Repair-Package-Tamanu-Bakuchiol-1-Ceramide-3-Sea-Buckthorn-i.43724442.9051724693,Tamanu,Purivera Botanicals Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,51,"Rp6,528,000",51,Rp6528000,6528000
SOMEBYMI Yuja Niacin Blemish Care SERUM 50ml,https://shopee.co.id/SOMEBYMI-Yuja-Niacin-Blemish-Care-SERUM-50ml-i.270965687.7838173195,Somebymi,Yepposkin Official Shop,Shopee,Official Store,KOTA YOGYAKARTA,51,"Rp50,490,000",51,Rp50490000,50490000
SCARLETT WHITENING - ACNE Serum 15ml,https://shopee.co.id/SCARLETT-WHITENING-ACNE-Serum-15ml-i.270965687.4696902950,Scarlett,Yepposkin Official Shop,Shopee,Official Store,KOTA YOGYAKARTA,51,"Rp8,233,000",51,Rp8233000,8233000
I'm From Mugwort Essence - Size: 160 ml - Edit by Sociolla,https://shopee.co.id/I-m-From-Mugwort-Essence-Size-160-ml-Edit-by-Sociolla-i.224957239.5361913802,I'M From,Edit by Sociolla Official,Shopee,Official Store,KOTA JAKARTA BARAT,51,"Rp10,559,600",51,Rp10559600,10559600
Somethinc Hyaluronic9 + Advanced + B5 Serum  20ml | 40ml,https://shopee.co.id/Somethinc-Hyaluronic9-Advanced-B5-Serum-20ml-40ml-i.136011044.3642517531,Somethinc,Sherbeautee Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,51,"Rp2,541,494",51,Rp2541494,2541494
The Body Shop Vitamin E Overnight Serum In Oil 28ml,https://shopee.co.id/The-Body-Shop-Vitamin-E-Overnight-Serum-In-Oil-28ml-i.28053737.1468075559,The Body Shop,The Body Shop Official,Shopee,Official Store,KOTA TANGERANG SELATAN,51,"Rp6,254,500",51,Rp6254500,6254500
LUNICA Bundle | Aqua Blossom Serum & Cream,https://shopee.co.id/LUNICA-Bundle-Aqua-Blossom-Serum-Cream-i.298959895.9487564452,Lunica,LUNICA Official Shop,Shopee,Official Store,KAB. TANGERANG,51,"Rp3,825,000",51,Rp3825000,3825000
Bio Essence Bio White Advanced Whitening Serum 30 ml - Wajah Cerah,https://shopee.co.id/Bio-Essence-Bio-White-Advanced-Whitening-Serum-30-ml-Wajah-Cerah-i.63822287.1671468824,Bio Essence,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,50,"Rp4,142,570",50,Rp4142570,4142570
Glowlabs Probiome Acne Serum,https://shopee.co.id/Glowlabs-Probiome-Acne-Serum-i.336869851.9425948280,Glowlabs,Glowlabs Official Shop,Shopee,Official Store,KOTA SURAKARTA (SOLO),50,"Rp2,400,000",50,Rp2400000,2400000
HAUM ALPHA MF 2% Alpha Arbutin 30 ml x 1,https://shopee.co.id/HAUM-ALPHA-MF-2-Alpha-Arbutin-30-ml-x-1-i.344731863.8136210682,Haum,HAUM Skincare Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,50,"Rp3,371,300",50,Rp3371300,3371300
J-GLOW - Skin Refining Serum Fungsi Untuk Kulit Berminyak Beruntus Atau Berjerawat -15ml,https://shopee.co.id/J-GLOW-Skin-Refining-Serum-Fungsi-Untuk-Kulit-Berminyak-Beruntus-Atau-Berjerawat-15ml-i.165212611.2523410062,J-Glow,J-GLOW Official Shop,Shopee,Official Store,KOTA BANDUNG,50,"Rp5,372,000",50,Rp5372000,5372000
MSBB - Somethinc AHA BHA PHA Peeling Solution 20 ml,https://shopee.co.id/MSBB-Somethinc-AHA-BHA-PHA-Peeling-Solution-20-ml-i.288588702.3762569871,Somethinc,My Skin But Better Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,49,"Rp9,356,300",49,Rp9356300,9356300
Olay White Radiance Essence 7 ml,https://shopee.co.id/Olay-White-Radiance-Essence-7-ml-i.11487927.4261207408,Olay,P&G Official Store,Shopee,Official Store,KOTA BEKASI,49,"Rp11,652,200",49,Rp11652200,11652200
Ella Skincare Glow Acne Tea Tree Serum,https://shopee.co.id/Ella-Skincare-Glow-Acne-Tea-Tree-Serum-i.95154428.6190452664,Ella Skincare,Ella Official Shop,Shopee,Official Store,KOTA SURAKARTA (SOLO),49,"Rp6,185,500",49,Rp6185500,6185500
Dear Me Beauty 10% Lactic Acid (AHA) + Pineapple Extract Face Serum - 12ml,https://shopee.co.id/Dear-Me-Beauty-10-Lactic-Acid-AHA-Pineapple-Extract-Face-Serum-12ml-i.45495764.8848397088,Dear Me Beauty,Dear Me Beauty Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,49,"Rp13,181,000",49,Rp13181000,13181000
[BPOM] Implora Face Serum 20 ml- Brightening/Acne Serum/Midnight Serum/Peeling Serum,https://shopee.co.id/Implora-Face-Serum-20ml-Brightening-Acne-Serum-Midnight-Serum-Peeling-Serum-i.50948181.5596856568,Implora,beauteamor.id,Shopee,Official Store,KOTA PEKANBARU,49,"Rp8,272,000",49,Rp8272000,8272000
Bio Essence Bio-Gold Night Cream 40 gr - Perawatan Wajah Anti Aging,https://shopee.co.id/Bio-Essence-Bio-Gold-Night-Cream-40-gr-Perawatan-Wajah-Anti-Aging-i.63822287.1671468813,Bio Gold,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,49,"Rp9,751,000",49,Rp9751000,9751000
Bio Essence Bio-Vlift Face Lifting Cream 45gr - Wajah Anti Aging,https://shopee.co.id/Bio-Essence-Bio-Vlift-Face-Lifting-Cream-45gr-Wajah-Anti-Aging-i.63822287.1222617046,Bio Essence,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,49,"Rp12,446,600",49,Rp12446600,12446600
"[innisfree] Forest for Men Pore Care All In One Essence 100ML - Serum Wajah, Perawatan Wajah",https://shopee.co.id/-innisfree-Forest-for-Men-Pore-Care-All-In-One-Essence-100ML-Serum-Wajah-Perawatan-Wajah-i.61504589.6628057935,Innisfree,Innisfree Official Shop,Shopee,Official Store,KOTA BEKASI,49,"Rp3,675,000",49,Rp3675000,3675000
Garnier Bright Complete White Speed Day Serum Cream UVA/UVB Skin Care - 20ml x 2 Pcs,https://shopee.co.id/Garnier-Bright-Complete-White-Speed-Day-Serum-Cream-UVA-UVB-Skin-Care-20ml-x-2-Pcs-i.62583853.7036373383,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,49,"Rp3,324,800",49,Rp3324800,3324800
Aura Bright - Glutathione 5Ml,https://shopee.co.id/Aura-Bright-Glutathione-5Ml-i.127215672.8706171575,Aura Bright,Aura Bright Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,49,"Rp4,338,000",49,Rp4338000,4338000
Sulwhasoo First Care Activating Serum 90ml,https://shopee.co.id/Sulwhasoo-First-Care-Activating-Serum-90ml-i.274949344.7079903093,Sulwhasoo,Sulwhasoo Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,49,"Rp3,665,200",49,Rp3665200,3665200
Mineral Botanica Perfect Purifying Face Serum,https://shopee.co.id/Mineral-Botanica-Perfect-Purifying-Face-Serum-i.124549994.1889391403,Mineral Botanica,Mineral Botanica Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,48,"Rp7,383,600",48,Rp7383600,7383600
AVOSKIN Miraculous Refining Serum 30ml,https://shopee.co.id/AVOSKIN-Miraculous-Refining-Serum-30ml-i.68111.2833773785,Avoskin,BEAUTYHAUL Official Shop,Shopee,Official Store,KOTA TANGERANG,48,"Rp4,204,400",48,Rp4204400,4204400
NIVEA Make Up Starter White Day Serum SPF 33 - 30 ml,https://shopee.co.id/NIVEA-Make-Up-Starter-White-Day-Serum-SPF-33-30-ml-i.39283823.664930310,Nivea,NIVEA Official Store,Shopee,Official Store,KOTA BEKASI,48,"Rp3,119,585",48,Rp3119585,3119585
Bio Essence BioWhite Advanced Whitening Night Cream 45gr - Wajah Cerah,https://shopee.co.id/Bio-Essence-BioWhite-Advanced-Whitening-Night-Cream-45gr-Wajah-Cerah-i.63822287.1671471974,Bio Essence,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,48,"Rp7,270,862",48,Rp7270862,7270862
Safi Age Defy Gold Water Essence 30 ml Twinpack Special,https://shopee.co.id/Safi-Age-Defy-Gold-Water-Essence-30-ml-Twinpack-Special-i.63823668.9438793578,Safi,Safi Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,48,"Rp1,573,208",48,Rp1573208,1573208
Pixy White Aqua Hydra Moist Essence 100 ML+ PIXY White-Aqua Concentrated Brightening Serum 17 ML,https://shopee.co.id/Pixy-White-Aqua-Hydra-Moist-Essence-100-ML-PIXY-White-Aqua-Concentrated-Brightening-Serum-17-ML-i.168693892.7056369743,Pixy,Pixy Official Store,Shopee,Official Store,KOTA JAKARTA UTARA,48,"Rp714,000",48,Rp714000,714000
Haum Lcid With Salicylic Acid 2% 28Ml,https://shopee.co.id/Haum-Lcid-With-Salicylic-Acid-2-28Ml-i.214358077.8000683764,Haum,Gamal Men Official Shop,Shopee,Official Store,KOTA JAKARTA TIMUR,48,"Rp8,512,000",48,Rp8512000,8512000
"Hyaluronic Acid Serum ""Nadfaskin""",https://shopee.co.id/Hyaluronic-Acid-Serum-Nadfaskin--i.3087844.3516077911,Nadfaskin,Nadfaskin Official Shop,Shopee,Official Store,KOTA BANDUNG,48,"Rp2,323,900",48,Rp2323900,2323900
Special Divine Pearl Serum - Size: 33 ml - Edit by Sociolla,https://shopee.co.id/Special-Divine-Pearl-Serum-Size-33-ml-Edit-by-Sociolla-i.224957239.7839043333,Klavuu,Edit by Sociolla Official,Shopee,Official Store,KOTA JAKARTA BARAT,48,"Rp3,600,000",48,Rp3600000,3600000
Babor Active Purifier 7X2ML,https://shopee.co.id/Babor-Active-Purifier-7X2ML-i.131188140.5538085106,Babor,Babor Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,47,"Rp14,355,000",47,Rp14355000,14355000
[SPECIAL SET] Nacific Lip Tint + Fresh Herb Origin Serum,https://shopee.co.id/-SPECIAL-SET-Nacific-Lip-Tint-Fresh-Herb-Origin-Serum-i.238379974.8073243964,Nacific,Nacific Cosmetics Official Shop,Shopee,Official Store,KOTA TANGERANG,47,"Rp12,508,650",47,Rp12508650,12508650
(New Packaging) Skinua Pure O2 Mask Serum,https://shopee.co.id/-New-Packaging-Skinua-Pure-O2-Mask-Serum-i.296259990.7046457080,Skinua Natural Mask,Skinua Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,47,"Rp2,771,800",47,Rp2771800,2771800
Sulwhasoo Bloomstay Vitalizing Serum 50ml + First Care Activating Serum 30ml (Limited Set),https://shopee.co.id/Sulwhasoo-Bloomstay-Vitalizing-Serum-50ml-First-Care-Activating-Serum-30ml-Limited-Set--i.274949344.4078795228,Sulwhasoo,Sulwhasoo Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,47,"Rp4,989,600",47,Rp4989600,4989600
The Body Shop Roots Of Strength Firming Serum 30ml,https://shopee.co.id/The-Body-Shop-Roots-Of-Strength-Firming-Serum-30ml-i.28053737.966363290,The Body Shop,The Body Shop Official,Shopee,Official Store,KOTA TANGERANG SELATAN,47,"Rp10,340,000",47,Rp10340000,10340000
"Glowlabs Gentle Glow Essence (AHA, BHA, PHA + Centella Asiatica - Gentle Exfoliator)",https://shopee.co.id/Glowlabs-Gentle-Glow-Essence-AHA-BHA-PHA-Centella-Asiatica-Gentle-Exfoliator--i.336869851.6374240556,Glowlabs,Glowlabs Official Shop,Shopee,Official Store,KOTA SURAKARTA (SOLO),47,"Rp7,050,000",47,Rp7050000,7050000
Haum Aloecid Niacinamide 10% 50 Gr X 1,https://shopee.co.id/Haum-Aloecid-Niacinamide-10-50-Gr-X-1-i.344731863.4065375450,Haum,HAUM Skincare Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,47,"Rp7,635,000",47,Rp7635000,7635000
Sk-Ii Genoptics Spot Essence,https://shopee.co.id/Sk-Ii-Genoptics-Spot-Essence-i.339725786.9950495345,SK-II,Lotte Shopping Avenue Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,47,"Rp16,426,500",47,Rp16426500,16426500
AVOSKIN YOUR SKIN BAE SERIES MARINE COLLAGEN 10% + GINSENG ROOT SERUM 30ML,https://shopee.co.id/AVOSKIN-YOUR-SKIN-BAE-SERIES-MARINE-COLLAGEN-10-GINSENG-ROOT-SERUM-30ML-i.50972887.7572705245,Avoskin,VitaminDiskon Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,47,"Rp5,428,500",47,Rp5428500,5428500
Bioderma Hydrabio Essence Lotion 200ml - Moisturizing and Radiance Booster untuk Kulit Dehidrasi,https://shopee.co.id/Bioderma-Hydrabio-Essence-Lotion-200ml-Moisturizing-and-Radiance-Booster-untuk-Kulit-Dehidrasi-i.134089202.2076451588,Bioderma,Bioderma Official Shop,Shopee,Official Store,KOTA TANGERANG,47,"Rp4,183,000",47,Rp4183000,4183000
Bio Essence Bio-Renew Foamy Cleanser 100 gr - Foam Cleanser,https://shopee.co.id/Bio-Essence-Bio-Renew-Foamy-Cleanser-100-gr-Foam-Cleanser-i.63822287.1222603782,Bio Essence,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,47,"Rp5,264,000",47,Rp5264000,5264000
Glowmy Glass Skin Pearlets Serum (20ml),https://shopee.co.id/Glowmy-Glass-Skin-Pearlets-Serum-20ml--i.324394758.6586649320,Glowmy,Glowmy Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,47,"Rp9,353,000",47,Rp9353000,9353000
Bio Essence Bio-Gold Day Cream SPF24 40gr - Perawatan Wajah Anti Aging,https://shopee.co.id/Bio-Essence-Bio-Gold-Day-Cream-SPF24-40gr-Perawatan-Wajah-Anti-Aging-i.63822287.1671468792,Bio Gold,Bio-Essence Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,46,"Rp18,709,100",46,Rp18709100,18709100
Ponds Bright Beauty Power Serum 7.5 gr,https://shopee.co.id/Ponds-Bright-Beauty-Power-Serum-7-5-gr-i.65323877.9678002965,Pond'S,Shopee Supermarket,Shopee,Official Store,KOTA BEKASI,46,"Rp1,631,808",46,Rp1631808,1631808
[BPOM] Nutrishe Intensive Bright & Glow Serum - 30ml,https://shopee.co.id/Nutrishe-Intensive-Bright-Glow-Serum-30ml-i.50948181.4382272840,Nutrishe,beauteamor.id,Shopee,Official Store,KOTA PEKANBARU,46,"Rp6,479,550",46,Rp6479550,6479550
ERTOS Anti Aging Gold Serum Original BPOM 100% / ERTO'S,https://shopee.co.id/ERTOS-Anti-Aging-Gold-Serum-Original-BPOM-100-ERTO-S-i.23831802.1593249056,Erto'S,Fair n Pink Official Shop,Shopee,Official Store,KOTA BOGOR,46,"Rp6,698,000",46,Rp6698000,6698000
Dear Me Beauty 10% Lactobionic Acid (PHA) + Lime Extract Face Serum - 12ml,https://shopee.co.id/Dear-Me-Beauty-10-Lactobionic-Acid-PHA-Lime-Extract-Face-Serum-12ml-i.45495764.8848396939,Dear Me Beauty,Dear Me Beauty Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,46,"Rp3,082,000",46,Rp3082000,3082000
Shiseido White Lucent Illuminating Micro Spot-Serum 50ML,https://shopee.co.id/Shiseido-White-Lucent-Illuminating-Micro-Spot-Serum-50ML-i.345419471.5169554458,Shiseido,Shiseido Official Shop,Shopee,Official Store,KOTA TANGERANG,46,"Rp5,701,800",46,Rp5701800,5701800
Melanox Premium Whitening Serum 15ml - Free Melanox Facial Wipes,https://shopee.co.id/Melanox-Premium-Whitening-Serum-15ml-i.46593637.812684330,Melanox,Surya Dermato Medica Labs,Shopee,Official Store,KOTA SURABAYA,45,"Rp6,136,752",45,Rp6136752,6136752
Glowlabs Retinol Cica Night Serum & Peptide Moist (Powerful Anti-Aging & Acne Prone Skincare),https://shopee.co.id/Glowlabs-Retinol-Cica-Night-Serum-Peptide-Moist-Powerful-Anti-Aging-Acne-Prone-Skincare--i.336869851.4179943970,Glowlabs,Glowlabs Official Shop,Shopee,Official Store,KOTA SURAKARTA (SOLO),45,"Rp16,561,200",45,Rp16561200,16561200
Olay Power Duo Krim Pelembab Regenerist Pagi & White Radiance Serum Wajah Anti Aging Skincare,https://shopee.co.id/Olay-Power-Duo-Krim-Pelembab-Regenerist-Pagi-White-Radiance-Serum-Wajah-Anti-Aging-Skincare-i.11487927.7437725495,Olay,P&G Official Store,Shopee,Official Store,KOTA BEKASI,45,"Rp5,473,500",45,Rp5473500,5473500
"MSBB - Avoskin Your Skin Bae Azeclair 10% + Kombucha 3% + Niacinamide 2,5% Vaccine Serum",https://shopee.co.id/MSBB-Avoskin-Your-Skin-Bae-Azeclair-10-Kombucha-3-Niacinamide-2-5-Vaccine-Serum-i.288588702.8728927018,Avoskin,My Skin But Better Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,45,"Rp7,452,550",45,Rp7452550,7452550
"Somethinc AHA 7% BHA 1%, PHA 3% Weekly Peeling Control!",https://shopee.co.id/Somethinc-AHA-7-BHA-1-PHA-3-Weekly-Peeling-Control--i.110573301.3395798597,Somethinc,Beauty by Shopee,Shopee,Official Store,KOTA JAKARTA UTARA,45,"Rp48,636,800",45,Rp48636800,48636800
Fresh Herb Origin Simple Set,https://shopee.co.id/Fresh-Herb-Origin-Simple-Set-i.238604292.3780442246,Nacific,Nacific Indonesia Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,45,"Rp7,291,620",45,Rp7291620,7291620
Pack of 2 - Votre Peau Skin Care Vitamin C Serum Pour Maharis Clinic 30ml,https://shopee.co.id/Pack-of-2-Votre-Peau-Skin-Care-Vitamin-C-Serum-Pour-Maharis-Clinic-30ml-i.46300234.6978288581,Votre Peau Skin Care,Votre Peau Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,45,"Rp2,362,500",45,Rp2362500,2362500
Bioderma Hydrabio Serum 40ml,https://shopee.co.id/Bioderma-Hydrabio-Serum-40ml-i.30736001.606417332,Bioderma,Watsons Indonesia Official Shop,Shopee,Official Store,KAB. TANGERANG,45,"Rp32,400,000",45,Rp32400000,32400000
FIRST LAB FIRST LAB Probiotic Skin Essence SIGNATURE 150ml,https://shopee.co.id/FIRST-LAB-FIRST-LAB-Probiotic-Skin-Essence-SIGNATURE-150ml-i.68111.2258664520,First Lab,BEAUTYHAUL Official Shop,Shopee,Official Store,KOTA TANGERANG,45,"Rp904,600",45,Rp904600,904600
Crushlicious Niacinamide Glow Up Facial Serum,https://shopee.co.id/Crushlicious-Niacinamide-Glow-Up-Facial-Serum-i.4184162.8057399682,Crushlicious,CRUSHLICIOUS Official Shop,Shopee,Official Store,KAB. PURBALINGGA,45,"Rp7,425,000",45,Rp7425000,7425000
SOME BY MI AHABHAPHA 30 Days Miracle Travel Kit,https://shopee.co.id/SOME-BY-MI-AHABHAPHA-30-Days-Miracle-Travel-Kit-i.125116082.10111565555,Somebymi,Style Korean Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,44,"Rp18,748,000",44,Rp18748000,18748000
Avoskin Perfect Hydrating Treatment Essence 30ml,https://shopee.co.id/Avoskin-Perfect-Hydrating-Treatment-Essence-30ml-i.30736001.11601973124,Avoskin,Watsons Indonesia Official Shop,Shopee,Official Store,KAB. TANGERANG,44,"Rp2,072,294",44,Rp2072294,2072294
KF Skin - Acne Serum,https://shopee.co.id/KF-Skin-Acne-Serum-i.298365554.7752068608,Kf Skin,KF Skin Official Shop,Shopee,Official Store,KAB. LAMONGAN,44,"Rp2,611,300",44,Rp2611300,2611300
Some By Mi Snail Truecica Miracle Repair Series,https://shopee.co.id/Some-By-Mi-Snail-Truecica-Miracle-Repair-Series-i.136011044.2298592488,Somebymi,Sherbeautee Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,44,"Rp4,576,000",44,Rp4576000,4576000
Garnier Sakura Glow Hyaluron Water - Glow Essence Skin Care x 3 pcs (Untuk Kulit Glowing Dari Dalam),https://shopee.co.id/Garnier-Sakura-Glow-Hyaluron-Water-Glow-Essence-Skin-Care-x-3-pcs-Untuk-Kulit-Glowing-Dari-Dalam--i.62583853.8567876287,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,44,"Rp2,860,000",44,Rp2860000,2860000
CLINELLE PushUp Bust Firming & Lifting Serum,https://shopee.co.id/CLINELLE-PushUp-Bust-Firming-Lifting-Serum-i.173963911.2814644655,Clinelle,Clinelle Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,44,"Rp2,735,900",44,Rp2735900,2735900
Raecca Glow It Up Serum [Official Store],https://shopee.co.id/Raecca-Glow-It-Up-Serum-Official-Store--i.41005244.10600465937,Raecca,Raecca Beauty Care Official Shop,Shopee,Official Store,KOTA BANDUNG,44,"Rp8,360,000",44,Rp8360000,8360000
[BPOM] Avoskin Your Skin Bae Serum Alpha Arbutin 3% + Grapeseed,https://shopee.co.id/Avoskin-Your-Skin-Bae-Serum-Alpha-Arbutin-3-Grapeseed-30ml-i.50948181.9376567457,Avoskin,beauteamor.id,Shopee,Official Store,KOTA PEKANBARU,44,"Rp5,312,500",44,Rp5312500,5312500
Skinmee Dualmee Series Universal,https://shopee.co.id/Skinmee-Dualmee-Series-Universal-i.426361756.4494249262,Skinmee,Skinmee Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,44,"Rp5,258,000",44,Rp5258000,5258000
Huxley Essence; Brightly Ever After 30 ml,https://shopee.co.id/Huxley-Essence-Brightly-Ever-After-30-ml-i.125116082.2756903137,Huxley,Style Korean Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,44,"Rp11,880,000",44,Rp11880000,11880000
Somethinc Niacinamide + Moisture Sabi Beet Serum 5% & 10% 20ML | 40ML,https://shopee.co.id/Somethinc-Niacinamide-Moisture-Sabi-Beet-Serum-5-10-20ML-40ML-i.136011044.6578470514,Somethinc,Sherbeautee Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,43,"Rp6,353,860",43,Rp6353860,6353860
"[innisfree] Wrinkle Science Oil Serum 30ML - Serum Wajah, Perawatan Wajah",https://shopee.co.id/-innisfree-Wrinkle-Science-Oil-Serum-30ML-Serum-Wajah-Perawatan-Wajah-i.61504589.3804170947,Innisfree,Innisfree Official Shop,Shopee,Official Store,KOTA BEKASI,43,"Rp4,943,400",43,Rp4943400,4943400
L'Oreal Paris Crystal Aura Skin Essential Kit (Esssence & Facial Cleanser Wash) Skin Care,https://shopee.co.id/L-Oreal-Paris-Crystal-Aura-Skin-Essential-Kit-Esssence-Facial-Cleanser-Wash-Skin-Care-i.62579622.7758365767,L'Oreal,L'Oreal Paris Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,43,"Rp11,214,000",43,Rp11214000,11214000
Avoskin Hydrating Treatment Essence 100ml,https://shopee.co.id/Avoskin-Hydrating-Treatment-Essence-100ml-i.825870.1810330776,Avoskin,Ponny Beaute Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,43,"Rp7,875,500",43,Rp7875500,7875500
"[innisfree] Jeju Lava Seawater Essence 50ML - Serum Wajah, Perawatan Wajah",https://shopee.co.id/-innisfree-Jeju-Lava-Seawater-Essence-50ML-Serum-Wajah-Perawatan-Wajah-i.61504589.2301917894,Innisfree,Innisfree Official Shop,Shopee,Official Store,KOTA BEKASI,43,"Rp13,480,000",43,Rp13480000,13480000
Sulwhasoo Perfecting Cushion Intense No. 21 Medium Pink + Essential Lip Serum Stick,https://shopee.co.id/Sulwhasoo-Perfecting-Cushion-Intense-No-21-Medium-Pink-Essential-Lip-Serum-Stick-i.274949344.6039205353,Sulwhasoo,Sulwhasoo Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,43,"Rp2,926,060",43,Rp2926060,2926060
[Buy 1 Get 1] Safi Age Defy Skin Booster,https://shopee.co.id/-Buy-1-Get-1-Safi-Age-Defy-Skin-Booster-i.63823668.9084534935,Safi,Safi Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,43,"Rp2,570,000",43,Rp2570000,2570000
Olay White Radiance Niacinamide + Cica Super Serum Brightening Skincare 30ML,https://shopee.co.id/Olay-White-Radiance-Niacinamide-Cica-Super-Serum-Brightening-Skincare-30ML-i.11487927.6679004503,Olay,P&G Official Store,Shopee,Official Store,KOTA BEKASI,43,"Rp6,698,100",43,Rp6698100,6698100
Luxcrime Venus Serum : Hydrating & Glowing,https://shopee.co.id/Luxcrime-Venus-Serum-Hydrating-Glowing-i.3278276.1819072253,Luxcrime,Luxcrime Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,43,"Rp6,171,000",43,Rp6171000,6171000
Jarkeen Bundling Porcelain Skin Technology Series,https://shopee.co.id/Jarkeen-Bundling-Porcelain-Skin-Technology-Series-i.147936010.4333278266,Jarkeen,Jarkeen Official Shop,Shopee,Official Store,KOTA BANDUNG,43,"Rp3,827,000",43,Rp3827000,3827000
I Trust Nature Licorice Serum - Soothing & Brightening,https://shopee.co.id/I-Trust-Nature-Licorice-Serum-Soothing-Brightening-i.221165911.6419859793,I Trust Nature,I Trust Nature Official Shop,Shopee,Official Store,KAB. TANGERANG,42,"Rp4,605,300",42,Rp4605300,4605300
Ella Skincare Glass Skin Rice Bran Essence,https://shopee.co.id/Ella-Skincare-Glass-Skin-Rice-Bran-Essence-i.95154428.1913299872,Ella,Ella Official Shop,Shopee,Official Store,KOTA SURAKARTA (SOLO),42,"Rp1,680,000",42,Rp1680000,1680000
NACIFIC Day and Night Set,https://shopee.co.id/NACIFIC-Day-and-Night-Set-i.238604292.6680337872,Nacific,Nacific Indonesia Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,42,"Rp4,414,500",42,Rp4414500,4414500
Nacific Phyto Niacin Whitening Essence 50ml,https://shopee.co.id/Nacific-Phyto-Niacin-Whitening-Essence-50ml-i.270965687.6337716678,Nacific,Yepposkin Official Shop,Shopee,Official Store,KOTA YOGYAKARTA,42,"Rp4,638,000",42,Rp4638000,4638000
NEUTROGENA Hydro Boost Capsule in Serum - Perawatan Wajah 30ml,https://shopee.co.id/NEUTROGENA-Hydro-Boost-Capsule-in-Serum-Perawatan-Wajah-30ml-i.50708029.6242963632,Neutrogena,Johnson & Johnson Official Shop,Shopee,Official Store,KOTA BEKASI,42,"Rp5,960,300",42,Rp5960300,5960300
Iunik Propolis Vitamin Synergy Serum 50ml,https://shopee.co.id/Iunik-Propolis-Vitamin-Synergy-Serum-50ml-i.270765534.7948917113,Iunik,Iunik Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,42,"Rp1,278,400",42,Rp1278400,1278400
ZUZU Brightening Serum,https://shopee.co.id/ZUZU-Brightening-Serum-i.400583963.4481452168,Zuzu Beauty,ZUZU Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,42,"Rp6,258,000",42,Rp6258000,6258000
