Product Title,URL,Brand,Seller Name,Marketplace,Seller Type,Location,Sales Quantity,Sales Revenue,,,
SOMETHINC HYALuronic9+ Advanced + B5 Serum + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-HYALuronic9-Advanced-B5-Serum-i.195455930.3213216369,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"5,766","Rp302,922,000",5766,Rp302922000,302922000
Dear Me Beauty Skin Barrier Water Cream,https://shopee.co.id/Dear-Me-Beauty-Skin-Barrier-Water-Cream-i.45495764.9831544725,Dear Me Beauty,Dear Me Beauty Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"5,577","Rp1,022,850,050",5577,Rp1022850050,1022850050
Garnier Light Complete Serum + Day & Night Cream - Rangkaian Garnier Light Complete Serum & Cream,https://shopee.co.id/Garnier-Light-Complete-Serum-Day-Night-Cream-Rangkaian-Garnier-Light-Complete-Serum-Cream-i.62583853.7841483163,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"5,460","Rp836,197,700",5460,Rp836197700,836197700
MSBB - Lacoco Dark Spot Essence,https://shopee.co.id/MSBB-Lacoco-Dark-Spot-Essence-i.288588702.5444563049,My Skin But Better,My Skin But Better Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,"5,275","Rp215,340,820",5275,Rp215340820,215340820
Avoskin Your Skin Bae Alpha Arbutin 3% + Grapeseed,https://shopee.co.id/Avoskin-Your-Skin-Bae-Alpha-Arbutin-3-Grapeseed-i.154494405.6869175407,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"5,076","Rp1,514,550,000",5076,Rp1514550000,1514550000
Garnier Light Complete Vitamin C 30x Booster Serum Skin Care - 30 ml x 2 pcs ( Cerahkan Noda Hitam ),https://shopee.co.id/Garnier-Light-Complete-Vitamin-C-30x-Booster-Serum-Skin-Care-30-ml-x-2-pcs-Cerahkan-Noda-Hitam--i.62583853.3937850433,Garnier,Garnier Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"4,951","Rp440,639,000",4951,Rp440639000,440639000
Aura Bright - Glutathione Vit C (Serum),https://shopee.co.id/Aura-Bright-Glutathione-Vit-C-Serum--i.127215672.1920886212,Aura Bright,Aura Bright Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"4,716","Rp144,438,450",4716,Rp144438450,144438450
Avoskin Miraculous Retinol Ampoule,https://shopee.co.id/Avoskin-Miraculous-Retinol-Ampoule-i.154494405.4332472063,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"4,655","Rp363,732,324",4655,Rp363732324,363732324
Ms Glow whitening Gold Serum bright and healthy skin,https://shopee.co.id/Ms-Glow-whitening-Gold-Serum-bright-and-healthy-skin-i.17566419.7411481065,Ms Glow,MS Glow Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"4,597","Rp133,772,700",4597,Rp133772700,133772700
Avoskin Perfect Hydrating Treatment Essence 100ml,https://shopee.co.id/Avoskin-Perfect-Hydrating-Treatment-Essence-100ml-i.154494405.2303660667,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"4,550","Rp688,348,700",4550,Rp688348700,688348700
Ms glow Serum  LUMINOUS moist & bright,https://shopee.co.id/Ms-glow-Serum-LUMINOUS-moist-bright-i.17566419.1104863702,Ms Glow,MS Glow Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"4,287","Rp400,710,100",4287,Rp400710100,400710100
L'Oreal Paris Revitalift Serum Radiance Booster Kit (Untuk Kulit Lembap dan Glowing),https://shopee.co.id/L-Oreal-Paris-Revitalift-Serum-Radiance-Booster-Kit-Untuk-Kulit-Lembap-dan-Glowing--i.62579622.4149157168,L'Oreal,L'Oreal Paris Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"4,280","Rp594,920,000",4280,Rp594920000,594920000
L'Oreal Paris Revitalift Crystal Micro Essence Water Serum Skin Care - 65 ml,https://shopee.co.id/L-Oreal-Paris-Revitalift-Crystal-Micro-Essence-Water-Serum-Skin-Care-65-ml-i.62579622.2379827390,L'Oreal,L'Oreal Paris Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"4,192","Rp373,088,000",4192,Rp373088000,373088000
Ms glow Deep TREATMENT ESSENCE,https://shopee.co.id/Ms-glow-Deep-TREATMENT-ESSENCE-i.17566419.7711389261,Ms Glow,MS Glow Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"4,044","Rp245,187,500",4044,Rp245187500,245187500
Implora Promo Buy 3 Serum Wajah 20ML Free Pouch,https://shopee.co.id/Implora-Promo-Buy-3-Serum-Wajah-20ML-Free-Pouch-i.10960132.7294689671,Implora,Implora Official Shop,Shopee,Official Store,KAB. SIDOARJO,"3,883","Rp273,364,700",3883,Rp273364700,273364700
SOMETHINC Bakuchiol Skinpair Oil Serum 20ml + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-Bakuchiol-Skinpair-Oil-Serum-20ml-i.195455930.7068614970,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,856","Rp192,324,000",3856,Rp192324000,192324000
Phyto Power Essence Biobeautylab 50ml,https://shopee.co.id/Phyto-Power-Essence-Biobeautylab-50ml-i.127156054.9432436450,Bio Beauty Lab,Bio Beauty Lab Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,749","Rp665,210,900",3749,Rp665210900,665210900
Somethinc Age Don't Care Exclusive Bundle,https://shopee.co.id/Somethinc-Age-Don-t-Care-Exclusive-Bundle-i.195455930.11301205139,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,609","Rp321,201,000",3609,Rp321201000,321201000
SOMETHINC Repair Your Skinbarrier,https://shopee.co.id/SOMETHINC-Repair-Your-Skinbarrier-i.195455930.8663871286,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,599","Rp560,788,500",3599,Rp560788500,560788500
[9.9 DISC UP TO 68%] YOU Golden Age Refining Serum 20ml,https://shopee.co.id/YOU-Golden-Age-Refining-Serum-20ml-i.72375863.5211874700,Y.O.U,YOU Beauty Official Store,Shopee,Official Store,KOTA TANGERANG,"3,551","Rp202,239,800",3551,Rp202239800,202239800
MS GLOW Lifting Serum,https://shopee.co.id/MS-GLOW-Lifting-Serum-i.17566419.640598068,Ms Glow,MS Glow Indonesia Official Shop,Shopee,Official Store,KOTA JAKARTA SELATAN,"3,354","Rp503,100,000",3354,Rp503100000,503100000
[GIFT] ElsheSkin Serum Sample 3ml,https://shopee.co.id/-GIFT-ElsheSkin-Serum-Sample-3ml-i.9035345.11727337001,ElsheSkin,ElsheSkin Official Shop,Shopee,Official Store,KOTA TANGERANG SELATAN,"3,206","Rp475,998,100",3206,Rp475998100,475998100
Bio Beauty Lab Bundling Phyto & 10ml Luxurious,https://shopee.co.id/Bio-Beauty-Lab-Bundling-Phyto-10ml-Luxurious-i.127156054.9474963341,Bio Beauty Lab,Bio Beauty Lab Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,087","Rp540,225,000",3087,Rp540225000,540225000
SOMETHINC BRIGHT SKINPAIR (Bakuchiol & 10% Niacinamide Sabi 20ml),https://shopee.co.id/SOMETHINC-BRIGHT-SKINPAIR-Bakuchiol-10-Niacinamide-Sabi-20ml--i.195455930.8216176295,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"3,046","Rp559,276,625",3046,Rp559276625,559276625
SOMETHINC SUPPLE POWER Hyaluronic9+ Onsen Essence Toner + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-SUPPLE-POWER-Hyaluronic9-Onsen-Essence-Toner-i.195455930.8226984074,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,829","Rp338,065,500",2829,Rp338065500,338065500
Whitelab Acne Calming Serum,https://shopee.co.id/Whitelab-Acne-Calming-Serum-i.201071840.7661397539,Whitelab,Whitelab Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,787","Rp173,452,300",2787,Rp173452300,173452300
La Roche Posay Hyalu B5 50ml Bundle +  FREE Kerastase,https://shopee.co.id/La-Roche-Posay-Hyalu-B5-50ml-Bundle-FREE-Kerastase-i.433144176.10349225959,La Roche-Posay,La Roche Posay Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,782","Rp326,843,750",2782,Rp326843750,326843750
"TRUEVE VITAMIN C & CERAMIDE Brightening Serum 30 ML, Serum Wajah",https://shopee.co.id/TRUEVE-VITAMIN-C-CERAMIDE-Brightening-Serum-30-ML-Serum-Wajah-i.310417610.5956774605,Trueve,Trueve Official Shop ,Shopee,Official Store,KAB. TANGERANG,"2,761","Rp206,485,000",2761,Rp206485000,206485000
SOMETHINC CRIOUSLY 24K GOLD Essence + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-CRIOUSLY-24K-GOLD-Essence-i.195455930.4118420674,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,735","Rp131,143,250",2735,Rp131143250,131143250
Avoskin Miraculous Refining Serum,https://shopee.co.id/Avoskin-Miraculous-Refining-Serum-i.154494405.2898934249,Avoskin,Avoskin Official Shop,Shopee,Official Store,KAB. SLEMAN,"2,685","Rp302,265,800",2685,Rp302265800,302265800
Everwhite Brightening Essence Serum - ChromaBright,https://shopee.co.id/Everwhite-Brightening-Essence-Serum-ChromaBright-i.85451896.2061262166,Everwhite,Everwhite Official Shop,Shopee,Official Store,KOTA JAKARTA UTARA,"2,671","Rp199,555,000",2671,Rp199555000,199555000
SOMETHINC 5% Niacinamide Barrier Serum + FREE BAKUCHIOL 5 ML,https://shopee.co.id/SOMETHINC-5-Niacinamide-Barrier-Serum-i.195455930.6277022560,Somethinc,SOMETHINC Official Shop,Shopee,Official Store,KOTA JAKARTA BARAT,"2,665","Rp399,750,000",2665,Rp399750000,399750000
