,No_Pesanan,Status_Pesanan,Status_Pembatalan_Atau_Pengembalian,No_Resi,Opsi_Pengiriman,Antar_Counter_Atau_Pick-Up,Batas_Waktu_Pengiriman,Waktu_Pengiriman_Diatur,Waktu_Pesanan_Dibuat,Waktu_Pembayaran_Dilakukan,SKU_Induk,Nama_Produk,Nomor_Referensi_SKU,Nama_Variasi,Harga_Awal,Harga_Setelah_Diskon,Jumlah,Total_Harga_Produk,Total_Diskon,Diskon_Dari_Penjual,Diskon_Dari_Shopee,Berat_Produk,Jumlah_Produk_Di_Pesan,Total_Berat,Voucher_Ditanggung_Penjual,Cashback_Koin,Voucher_Ditanggung_Shopee,Paket_Diskon,Paket_Diskon_Shopee,Paket_Diskon_Penjual,Potongan_Koin_Shopee,Diskon_Kartu_Kredit,Ongkos_Kirim_Dibayar_Oleh_Pembeli,Total_Pembayaran,Perkiraan_Ongkos_Kirim,Catatan_Dari_Pembeli,Catatan,City,User_Id,Category,Full Name
20,210306NJMXPMKE,Selesai,Pengembalian,10000967878450,Anteraja,Pickup,2021-03-09 21:54:00,2021-03-08 15:16:00,2021-03-06 21:53:00,2021-03-06 21:54:00,alb,"miniletics Sports Bra Alleviate Bra, with A/B bra cup",ALB_Periwinkle_L,"Periwinkle,L",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,10000.0,180000.0,35000.0,Tidak ada,Tidak ada,Gorontalo,50,sports bra,"Alleviate Bra, Support with A/B bra cup"
21,210317K3KXW8QQ,Selesai,Pengembalian,002508248870,SiCepat REG,Pickup,2021-03-19 12:05:00,2021-03-17 15:10:00,2021-03-17 12:05:00,2021-03-17 12:05:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Black_S,"Black,S",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7000.0,254014.0,7000.0,Tidak ada,Tidak ada,Jakarta Pusat,121,legging,Motion Legging Full
22,2103139BYHGRQR,Selesai,Pengembalian,10000992318989,Anteraja,Pickup,2021-03-16 15:08:00,2021-03-15 15:13:00,2021-03-13 15:08:00,2021-03-13 15:08:00,emb,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_Cream_M,"Cream,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,7500.0,0.0,0.0,N,0.0,0.0,37800,0.0,0.0,148100.0,3500.0,Tidak ada,Tidak ada,Surabaya,59,sports bra,"Embrace Bra, Support with A/B bra cup"
23,210320TQCT82HT,Selesai,Pengembalian,002510225221,"Reguler
SiCepat REG",Pickup,2021-03-23 12:48:00,2021-03-22 17:44:00,2021-03-20 12:47:00,2021-03-20 12:48:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_PastelLilac_L,"Paste Lilac,L",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,9000.0,253500.0,9000.0,Tidak ada,Tidak ada,Tangerang Selatan,46,legging,Motion Legging Full
24,2103139KPGNMQP,Selesai,Pengembalian,10000992341680,Anteraja,Pickup,2021-03-16 07:33:00,2021-03-15 15:13:00,2021-03-13 17:26:00,2021-03-14 07:33:00,racrop,miniletics Celana Wanita Ready Anywhere Crop,RACrop_LavenderGrey_S,"Lavender Grey,S",249500.0,249500.0,1,249500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,257500.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,34,pants,Ready Anywhere Crop
25,2103234XNWWP7Y,Selesai,Pengembalian,10001022146312,"Reguler
Anteraja",Pickup,2021-03-25 10:49:00,2021-03-23 14:40:00,2021-03-23 10:46:00,2021-03-23 10:49:00,molfull,miniletics Legging Olahraga Wanita Motion Legging Full,MOLFull_Black_XL,"Black,XL",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,6000.0,250804.0,6000.0,Tidak ada,Tidak ada,Tulungagung,62,legging,Motion Legging Full
26,210317K0N5C9SA,Selesai,Pengembalian,002508174638,SiCepat REG,Pickup,2021-03-19 11:13:00,2021-03-17 15:11:00,2021-03-17 11:12:00,2021-03-17 11:13:00,sprjacket,miniletics Jaket Olahraga Wanita Sprint Jacket,SPRJacket_SpaceBlue_M,"Space Blue,M",274500.0,260774.0,1,260774.0,13724.0,13724.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,22450.0,0,0.0,17000.0,447984.0,17000.0,Tidak ada,Tidak ada,Palembang,196,jacket,Sprint Jaket
27,210317K0N5C9SA,Selesai,Pengembalian,002508174638,SiCepat REG,Pickup,2021-03-19 11:13:00,2021-03-17 15:11:00,2021-03-17 11:12:00,2021-03-17 11:13:00,pwrhigh,"miniletics Sports Bra Power High Neck Bra, with A/B cup",PWRHigh_Black_M,"Black,M",174500.0,165774.0,1,165774.0,8724.0,8724.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,22450.0,0,0.0,17000.0,447984.0,17000.0,Tidak ada,Tidak ada,Palembang,196,sports bra,"Power High Neck Bra, Support with A/B bra cup"
28,210314C47C7H7V,Selesai,Pengembalian,CM86526509968,JNE Reguler (Cashless),Pickup,2021-03-17 15:28:00,2021-03-16 15:43:00,2021-03-14 17:27:00,2021-03-15 15:28:00,emb,miniletics Sports Bra Wanita Embrace Bra (support with A/B bra cup),EMB_Cream_L,"Cream,L",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,9000.0,184000.0,9000.0,Tidak ada,Tidak ada,Bekasi,86,sports bra,"Embrace Bra, Support with A/B bra cup"
29,210330PDJXRRP9,Selesai,Pengembalian,CM28149415422,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-01 09:28:00,2021-03-30 17:41:00,2021-03-30 09:28:00,2021-03-30 09:28:00,racrop,"miniletics Ready Anywhere Crop 22"" Celana Wanita",RACrop_MauvePink_S,"Mauve Pink,S",249500.0,249500.0,1,249500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,138,0.0,0.0,249430.0,9000.0,Tidak ada,Tidak ada,Sleman,226,pants,Ready Anywhere Crop
30,210330PRR3QDQ6,Selesai,Pengembalian,JP8744823567,"Reguler
J&T Express",Pickup,2021-04-01 12:48:00,2021-03-30 16:23:00,2021-03-30 12:48:00,2021-03-30 12:48:00,cj,miniletics Confit Jacket Jaket Olahraga Wanita,CJ_EggplantPurple_XL,"Eggplant Purple,XL",349000.0,349000.0,1,349000.0,0.0,0.0,0.0,350,1,350,0.0,0.0,0.0,N,0.0,0.0,0,0.0,10000.0,362590.0,10000.0,Tidak ada,Tidak ada,Bandung,11,jacket,Confit Jacket
31,210328JM8C6R50,Selesai,Pengembalian,JP9839014673,"Reguler
J&T Express",Pickup,2021-03-30 21:21:00,2021-03-29 16:23:00,2021-03-28 21:17:00,2021-03-28 21:21:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_White_S,"White,S",134000.0,134000.0,1,134000.0,0.0,0.0,0.0,300,2,600,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,274000.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,17,tank top,Feel Free Basic Crop Tank
32,210328JM8C6R50,Selesai,Pengembalian,JP9839014673,"Reguler
J&T Express",Pickup,2021-03-30 21:21:00,2021-03-29 16:23:00,2021-03-28 21:17:00,2021-03-28 21:21:00,clt,miniletics Cross Limit (Cropped Tank) Tank Top Olahraga Wanita,CLT_Black_S,"Black,S",139500.0,139500.0,1,139500.0,0.0,0.0,0.0,300,2,600,7500.0,0.0,0.0,N,0.0,0.0,0,0.0,7500.0,274000.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,17,tank top,Cross Limit Crop Tank
33,210330QF8E884K,Selesai,Pengembalian,CM40894522030,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-05 04:39:00,2021-03-31 16:22:00,2021-03-30 19:31:00,2021-03-31 04:39:00,nmt,"miniletics Notice Mi 2 in 1 Tank, A/B cup Tank Top Olahraga Wanita",NMT_Grey_L,"Grey,L",199500.0,199500.0,1,199500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,14000.0,458500.0,14000.0,Tidak ada,Tidak ada,Serang,122,tank top,Notice Mi 2-in-1 Tank Medium Support with A/B Cup
34,210330QF8E884K,Selesai,Pengembalian,CM40894522030,"Reguler
JNE Reguler (Cashless)",Pickup,2021-04-05 04:39:00,2021-03-31 16:22:00,2021-03-30 19:31:00,2021-03-31 04:39:00,molfull,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_Black_XL,"Black,XL",244500.0,244500.0,1,244500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,14000.0,458500.0,14000.0,Tidak ada,Tidak ada,Serang,122,legging,Motion Legging Full
35,210330QTRKKXMV,Selesai,Pengembalian,002514240574,"Reguler
SiCepat REG",Pickup,2021-04-01 22:57:00,2021-03-31 15:42:00,2021-03-30 22:56:00,2021-03-30 22:57:00,cj,miniletics Confit Jacket Jaket Olahraga Wanita,CJ_Turqoise_M,"Turquoise,M",349000.0,349000.0,1,349000.0,0.0,0.0,0.0,350,1,350,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,349000.0,7500.0,Mohon dikirim segera!❤️,Tidak ada,Jakarta Selatan,89,jacket,Confit Jacket
36,210331SYK2BMGR,Selesai,Pengembalian,002515684143,"Reguler
SiCepat REG",Pickup,2021-04-06 14:35:00,2021-04-03 12:56:00,2021-03-31 19:28:00,2021-04-01 14:35:00,molshorts,"miniletics Motion Shorts 4""Celana Olahraga Wanita",MOLShorts_Black_S,"Black,S",169500.0,169500.0,1,169500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,344500.0,10000.0,Tidak ada,Tidak ada,Denpasar,194,shorts,"Motion Shorts 4"""
37,210331SYK2BMGR,Selesai,Pengembalian,002515684143,"Reguler
SiCepat REG",Pickup,2021-04-06 14:35:00,2021-04-03 12:56:00,2021-03-31 19:28:00,2021-04-01 14:35:00,embhigh,"miniletics Embrace Bra High Neck, with A/B cup Sports Bra",EMBHigh_White_M,"White,M",174500.0,174500.0,1,174500.0,0.0,0.0,0.0,300,2,600,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,344500.0,10000.0,Tidak ada,Tidak ada,Denpasar,194,sports bra,Embrace Bra High Neck Support with A/B Cup
38,2104058FJ8QS3F,Selesai,Pengembalian,002517234415,"Reguler
SiCepat REG",Pickup,2021-04-08 10:13:00,2021-04-05 15:29:00,2021-04-05 10:13:00,2021-04-05 10:13:00,sprjacket,miniletics Sprint Jacket Jaket Olahraga Wanita,SPRJacket_ArtichokeGreen_M,"Artichoke Green,M",274500.0,274500.0,1,274500.0,0.0,0.0,0.0,300,1,300,0.0,0.0,0.0,N,0.0,0.0,0,0.0,0.0,274500.0,7500.0,Tidak ada,Tidak ada,Jakarta Selatan,259,jacket,Sprint Jaket
39,2104020SJUJJ1V,Selesai,Pengembalian,002515685013,"Reguler
SiCepat REG",Pickup,2021-04-06 08:51:00,2021-04-03 13:43:00,2021-04-02 08:51:00,2021-04-02 08:51:00,slfull,"miniletics  Swift Legging 23"" Legging Olahraga Wanita",SLfull_DarkBlue_M,"Dark Blue,M",249500.0,243544.0,1,243544.0,5954.0,5954.0,0.0,300,2,600,7500.0,0.0,0.0,Y,0.0,10000.0,836,0.0,0.0,401082.0,17000.0,Tidak ada,Tidak ada,Palembang,198,legging,Swift Legging Full
40,2104020SJUJJ1V,Selesai,Pengembalian,002515685013,"Reguler
SiCepat REG",Pickup,2021-04-06 08:51:00,2021-04-03 13:43:00,2021-04-02 08:51:00,2021-04-02 08:51:00,alb,"miniletics Alleviate Bra, with A/B bra cup Sports Bra",ALB_Periwinkle_M,"Periwinkle,M",169500.0,165454.0,1,165454.0,4044.0,4044.0,0.0,300,2,600,7500.0,0.0,0.0,Y,0.0,10000.0,836,0.0,0.0,401082.0,17000.0,Tidak ada,Tidak ada,Palembang,198,sports bra,"Alleviate Bra, Support with A/B bra cup"
41,210406BVK7FH0R,Selesai,Pengembalian,IN-2-0IUPCRH3H1JP2YC6BXZ3,"Instant
GrabExpress Instant",Pickup,2021-04-08 18:44:00,2021-04-07 14:09:00,2021-04-06 18:44:00,2021-04-06 18:44:00,moltrain,"miniletics  Motion Train Tight 23"" Celana Olahraga Wanita",MOLTrain_Crimson_L,"Crimson,L",279500.0,274166.0,1,274166.0,5334.0,5334.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,11000.0,530250.0,11000.0,Tidak ada,Tidak ada,Surabaya,209,legging,"Motion Legging Train Tight 23"""
42,210406BVK7FH0R,Selesai,Pengembalian,IN-2-0IUPCRH3H1JP2YC6BXZ3,"Instant
GrabExpress Instant",Pickup,2021-04-08 18:44:00,2021-04-07 14:09:00,2021-04-06 18:44:00,2021-04-06 18:44:00,molfull,"miniletics Motion Legging Full 24"" Legging Olahraga Wanita",MOLFull_Purple_L,"Purple,L",244500.0,239834.0,1,239834.0,4666.0,4666.0,0.0,300,2,600,0.0,0.0,0.0,Y,0.0,10000.0,0,0.0,11000.0,530250.0,11000.0,Tidak ada,Tidak ada,Surabaya,209,legging,Motion Legging Full
43,2104058V0QH7RC,Selesai,Pengembalian,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19:00,2021-04-05 15:44:00,2021-04-05 13:56:00,2021-04-05 14:19:00,fft,"miniletics Feel Free Basic Crop Tank, Light Support with A/B cup Tank Top Olahraga Wanita",FFT_DarkBlue_S,"Dark Blue,S",134000.0,113900.0,1,113900.0,20100.0,20100.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,31123,0.0,5000.0,362738.0,15000.0,Tidak ada,Tidak ada,Jakarta Barat,101,tank top,Feel Free Basic Crop Tank
44,2104058V0QH7RC,Selesai,Pengembalian,002517628336,"Reguler
SiCepat REG",Pickup,2021-04-08 14:19:00,2021-04-05 15:44:00,2021-04-05 13:56:00,2021-04-05 14:19:00,tst,miniletics Tie It Strong Tank Baju Olahraga Wanita Tank Top,TST_White_S,"White,S",144000.0,122400.0,1,122400.0,21600.0,21600.0,0.0,300,3,900,7500.0,0.0,0.0,N,0.0,0.0,31123,0.0,5000.0,362738.0,15000.0,Tidak ada,Tidak ada,Jakarta Barat,101,tank top,Tie It Strong Tank
